Ano,Mes,categoria,uni_iqr,uni_mad,multi_voto
2023,Nov,Limpa,False,False,False
2023,Dez,Limpa,False,False,False
2024,Jan,Limpa,False,False,False
2024,Fev,Limpa,False,False,False
2024,Mar,Limpa,False,False,False
2024,Abr,Limpa,False,False,False
2024,Mai,Limpa,False,False,False
2024,Jun,Só uni,True,True,False
2024,Jul,Limpa,False,False,False
2024,Ago,Só uni,True,True,False
2024,Set,Só uni,True,False,False
2024,Out,Limpa,False,False,False
2024,Nov,Só uni,False,True,False
2024,Dez,Incompleta,False,False,False
