Ano,Mes,metodo,variavel_mais_extrema,valor_original,z_score,n_metodos,n_violacoes_conama
2010,Jan,MAD,Fe(ppm Fe),8.45,3.2,2,6
2010,Mar,IQR,Fe(ppm Fe),7.65,2.79,2,6
2010,Mar,MAD,Fe(ppm Fe),7.65,2.79,2,6
2011,Fev,IQR,Fe(ppm Fe),5.71,1.81,2,6
2011,Fev,MAD,Fe(ppm Fe),5.71,1.81,2,6
2012,Jan,IQR,COR(ppm Pt Co),492.0,3.29,2,7
2012,Jan,MAD,COR(ppm Pt Co),492.0,3.29,2,7
2014,Dez,IQR,Cond.(uS/cm),718.0,2.43,2,6
2014,Dez,MAD,Cond.(uS/cm),718.0,2.43,2,6
2014,Fev,IQR,pH,7.9,3.13,2,6
2014,Fev,MAD,pH,7.9,3.13,2,6
2014,Mai,IQR,DUR.(ppm CaCO3),113.0,3.34,2,5
2014,Mai,MAD,DUR.(ppm CaCO3),113.0,3.34,2,5
2014,Mar,IQR,Mn(mg/l),0.36,1.39,2,5
2014,Mar,MAD,Mn(mg/l),0.36,1.39,2,5
2015,Fev,IQR,TURB.(FTU),224.0,2.05,2,6
2015,Fev,MAD,TURB.(FTU),224.0,2.05,2,6
2016,Jan,IQR,O.C.(ppm O2),15.9,2.52,2,6
2016,Jan,MAD,O.C.(ppm O2),15.9,2.52,2,6
2017,Fev,IQR,Fe(ppm Fe),5.74,1.82,2,5
2017,Fev,MAD,Fe(ppm Fe),5.74,1.82,2,5
2017,Nov,IQR,Mn(mg/l),0.58,3.19,2,4
2017,Nov,MAD,Mn(mg/l),0.58,3.19,2,4
2017,Set,IQR,Mn(mg/l),0.57,3.1,2,3
2017,Set,MAD,Mn(mg/l),0.57,3.1,2,3
2019,Dez,IQR,pH,7.0,-1.81,2,5
2019,Dez,MAD,pH,7.0,-1.81,2,5
2019,Nov,IQR,TURB.(FTU),254.0,2.44,2,6
2019,Nov,MAD,TURB.(FTU),254.0,2.44,2,6
2020,Dez,IQR,TURB.(FTU),252.0,2.41,2,6
2020,Dez,MAD,TURB.(FTU),252.0,2.41,2,6
2020,Fev,IQR,Mn(mg/l),0.53,2.78,2,6
2020,Fev,MAD,Mn(mg/l),0.53,2.78,2,6
2010,Fev,MAD,Fe(ppm Fe),5.0,1.44,1,4
2011,Dez,MAD,TURB.(FTU),202.0,1.77,1,7
2012,Jun,MAD,TURB.(FTU),177.0,1.44,1,7
2015,Ago,IQR,pH,7.7,2.03,1,6
2015,Dez,MAD,TURB.(FTU),175.0,1.42,1,6
2015,Out,IQR,DUR.(ppm CaCO3),89.0,1.97,1,5
2016,Out,IQR,Mn(mg/l),0.35,1.31,1,5
2017,Jan,MAD,TURB.(FTU),210.0,1.87,1,5
2018,Fev,MAD,Fe(ppm Fe),5.0,1.44,1,5
2019,Set,IQR,Cl-(ppm Cl-),82.0,1.39,1,4
2020,Jan,MAD,TURB.(FTU),218.0,1.97,1,6
2022,Jan,MAD,Fe(ppm Fe),4.8,1.34,1,7
2022,Mar,IQR,Cl-(ppm Cl-),80.0,1.31,1,5
2023,Mai,IQR,DUR.(ppm CaCO3),99.0,2.54,1,4
2024,Set,IQR,pH,7.8,2.58,1,4
