variavel,n_obs,metodo,criterio,vencedor,score,n_flags,precision,recall,f1,jaccard_medio
Cl-(ppm Cl-),185,Percentil_1-99,JACCARD (CONAMA sem violação),False,0.2538095238095238,4,,,,0.2538095238095238
Cl-(ppm Cl-),185,Tukey_adj,JACCARD (CONAMA sem violação),False,0.3178571428571428,14,,,,0.3178571428571428
DUR.(ppm CaCO3),185,IQR_1.5,JACCARD,False,0.2348484848484848,6,,,,0.2348484848484848
DUR.(ppm CaCO3),185,IQR_3.0,JACCARD,False,0.31666666666666665,1,,,,0.31666666666666665
DUR.(ppm CaCO3),185,Z-score,JACCARD,True,0.49523809523809514,2,,,,0.49523809523809514
DUR.(ppm CaCO3),185,MAD,JACCARD,False,0.49523809523809514,2,,,,0.49523809523809514
DUR.(ppm CaCO3),185,Percentil_1-99,JACCARD,False,0.38571428571428573,4,,,,0.38571428571428573
DUR.(ppm CaCO3),185,Tukey_adj,JACCARD,False,0.19437229437229436,6,,,,0.19437229437229436
Fe(ppm Fe),185,IQR_1.5,CONAMA_F1,False,0.11282051282051284,11,1.0,0.059782608695652176,0.11282051282051284,
Fe(ppm Fe),185,IQR_3.0,CONAMA_F1,False,0.042553191489361694,4,1.0,0.021739130434782608,0.042553191489361694,
Fe(ppm Fe),185,Z-score,CONAMA_F1,False,0.042553191489361694,4,1.0,0.021739130434782608,0.042553191489361694,
Fe(ppm Fe),185,MAD,CONAMA_F1,True,0.19607843137254902,20,1.0,0.10869565217391304,0.19607843137254902,
Fe(ppm Fe),185,Percentil_1-99,CONAMA_F1,False,0.0213903743315508,3,0.6666666666666666,0.010869565217391304,0.0213903743315508,
Fe(ppm Fe),185,Tukey_adj,CONAMA_F1,False,0.06282722513089005,7,0.8571428571428571,0.03260869565217391,0.06282722513089005,
Mn(mg/l),185,IQR_1.5,CONAMA_F1,True,0.18784530386740328,17,1.0,0.10365853658536585,0.18784530386740328,
Mn(mg/l),185,IQR_3.0,CONAMA_F1,False,0.09302325581395349,8,1.0,0.04878048780487805,0.09302325581395349,
Mn(mg/l),185,Z-score,CONAMA_F1,False,0.08187134502923978,7,1.0,0.042682926829268296,0.08187134502923978,
Mn(mg/l),185,MAD,CONAMA_F1,False,0.15730337078651685,14,1.0,0.08536585365853659,0.15730337078651685,
Mn(mg/l),185,Percentil_1-99,CONAMA_F1,False,0.023809523809523808,4,0.5,0.012195121951219513,0.023809523809523808,
Mn(mg/l),185,Tukey_adj,CONAMA_F1,False,0.03409090909090909,12,0.25,0.018292682926829267,0.03409090909090909,
N(ppm N),21,IQR_1.5,INSUFICIENTE,False,,0,,,,
N(ppm N),21,IQR_3.0,INSUFICIENTE,False,,0,,,,
N(ppm N),21,Z-score,INSUFICIENTE,False,,0,,,,
N(ppm N),21,MAD,INSUFICIENTE,False,,0,,,,
