data,Ano,Mes,COR(ppm Pt Co),TURB.(FTU),pH,O.C.(ppm O2),O.D.(ppm O2),Cl-(ppm Cl-),DUR.(ppm CaCO3),Fe(ppm Fe),Mn(mg/l),Cond.(uS/cm),flag_IQR,flag_MAD,flag_IForest,flag_LOF,flag_KNN,flag_Ensemble,n_metodos,n_violacoes_conama,n_violacoes_sem_indicativos
2012-07-01,2012,Jul,125.0,111.0,7.2,9.3,3.9,29.0,37.0,1.42,0.11,187.0,False,False,False,False,False,False,0,6,5
2012-08-01,2012,Ago,40.0,8.0,7.4,8.3,2.5,41.0,45.0,0.83,0.05,306.0,False,False,False,False,False,False,0,3,2
2012-09-01,2012,Set,43.0,6.0,7.5,7.5,2.0,48.0,49.0,0.83,0.11,372.0,False,False,False,False,False,False,0,5,4
2012-10-01,2012,Out,74.0,14.0,7.5,10.8,1.7,55.0,43.0,0.94,0.16,403.0,False,False,False,False,False,False,0,5,4
2012-11-01,2012,Nov,61.0,9.0,7.6,8.5,2.0,44.0,61.0,0.99,0.14,387.0,False,False,False,False,False,False,0,5,4
2012-12-01,2012,Dez,94.0,52.0,7.4,7.2,2.2,33.0,47.0,1.71,0.15,311.0,False,False,False,False,False,False,0,6,5
2013-01-01,2013,Jan,230.0,106.0,7.4,10.6,2.9,31.0,33.0,3.79,0.15,181.0,False,False,False,False,False,False,0,7,6
2013-02-01,2013,Fev,182.0,125.0,7.5,10.2,3.3,31.0,41.0,2.49,0.19,193.0,False,False,False,False,False,False,0,7,6
2013-03-01,2013,Mar,149.0,50.0,7.4,12.3,3.3,32.0,35.0,2.88,0.16,193.0,False,False,False,False,False,False,0,5,4
2013-04-01,2013,Abr,138.0,62.0,7.4,9.5,3.9,31.0,41.0,2.33,0.15,192.0,False,False,False,False,False,False,0,5,4
2013-05-01,2013,Mai,69.0,18.0,7.1,9.3,3.4,38.0,60.0,1.01,0.1,240.0,False,False,False,False,False,False,0,3,2
2013-06-01,2013,Jun,66.0,16.0,7.3,8.9,3.0,35.0,38.0,1.32,0.11,242.0,False,False,False,False,False,False,0,4,3
2013-07-01,2013,Jul,69.0,18.0,7.1,9.3,3.4,38.0,60.0,1.01,0.1,240.0,False,False,False,False,False,False,0,3,2
2013-08-01,2013,Ago,54.0,9.0,7.4,8.8,2.5,48.0,53.0,0.86,0.07,333.0,False,False,False,False,False,False,0,3,2
2013-09-01,2013,Set,57.0,8.0,7.4,7.5,2.2,45.0,47.0,1.13,0.12,351.0,False,False,False,False,False,False,0,5,4
2013-10-01,2013,Out,155.0,148.0,7.4,9.3,2.9,38.0,37.0,2.38,0.18,292.0,False,False,False,False,False,False,0,6,5
2013-11-01,2013,Nov,60.0,64.0,7.6,6.3,2.4,48.0,54.0,1.11,0.3,378.0,False,False,False,False,False,False,0,5,4
2013-12-01,2013,Dez,142.0,115.0,7.4,8.6,2.8,40.0,47.0,2.41,0.27,309.0,False,False,False,False,False,False,0,6,5
