variavel,importancia
ALC.(ppm CaCO3),0.24152604973190514
Cond.(uS/cm),0.23744311653116654
O.C.(ppm O2),0.20284805250834004
DUR.(ppm CaCO3),0.17992013901971307
AC.(ppm CaCO3),0.13826264220887524
