k,wcss,silhueta
2,2492.1994796565596,0.2791512411094315
3,2084.9164208807215,0.2269200643517968
4,1969.9273951529703,0.16521237452060608
5,1861.461511422178,0.13040164013449806
6,1737.474305502801,0.11543965560847562
7,1708.278925775776,0.09916978902498293
8,1551.6589458139224,0.11527761536292418
9,1506.5341004417976,0.1106844093369616
10,1381.5801060322483,0.11523766603620929
