cluster,COR(ppm Pt Co),TURB.(FTU),pH,ALC.(ppm CaCO3),AC.(ppm CaCO3),O.C.(ppm O2),O.D.(ppm O2),Cl-(ppm Cl-),DUR.(ppm CaCO3),Fe(ppm Fe),Mn(mg/l),Cond.(uS/cm),Cianobacteria(cel/ml),C.F.(NMP/100ml),CLOROFILA(ug/l),F(ppm F),n
0,76.55,20.81,7.5,96.89,14.7,10.73,2.55,72.1,69.83,1.07,0.2,548.33,20799.2,35200.08,81.18,0.42,42
1,132.49,75.31,7.28,53.92,11.62,7.91,3.28,36.75,49.35,2.42,0.19,264.87,7872.5,18886.89,25.29,0.26,150
