var,nivel,metodo,RMSE,MAE,R2,R2_std,RMSE_n,MAE_n
COR,10,media,1080.8610031908263,766.0208626347865,-0.09765923033748837,0.1799067802234233,0.12867392895128885,0.09119295983747458
COR,10,mediana,1139.950119830252,711.7592592592594,-0.19721149896448828,0.143004508592647,0.13570834759883954,0.08473324514991183
COR,10,KNN,668.5368943549076,348.5707769326843,0.6041870070893804,0.14517777443947938,0.07958772551844139,0.041496521063414796
COR,20,media,1069.6734573177653,745.1831138129012,-0.056664702386940775,0.06658563089963558,0.1273420782521149,0.08871227545391681
COR,20,mediana,1146.8703508392416,722.066666666667,-0.2071358470051585,0.12110926454389251,0.13653218462371924,0.08596031746031749
COR,20,KNN,651.1432064313691,338.86951711527314,0.609783510892462,0.11561320724871839,0.0775170483846868,0.04034160918038966
COR,30,media,1026.7035197837683,728.1383647798741,-0.028785137762628327,0.05180480690462294,0.12222660949806766,0.08668313866427073
COR,30,mediana,1086.2699300442414,668.4591194968555,-0.14741287747716358,0.07363757759197134,0.12931784881479064,0.07957846660676851
COR,30,KNN,635.2103335878186,326.20774819599023,0.6142715736283563,0.09123949693906981,0.07562027780807364,0.03883425573761789
TURB.,10,media,753.7173947086101,586.2015939990622,-0.08625697880472037,0.1314836545977047,0.18985324803743328,0.14765783224157739
TURB.,10,mediana,810.4672428867611,534.0740740740742,-0.21914373002303764,0.15302336041069262,0.20414792012260985,0.13452747457785247
TURB.,10,KNN,449.32920153282413,278.5201613846389,0.6172839932407747,0.12817002280314882,0.11318115907627811,0.07015621193567731
TURB.,20,media,756.9086402130044,570.5472475515028,-0.06408036847748028,0.08122379043734947,0.19065708821486257,0.14371467192733067
TURB.,20,mediana,821.4607413256996,532.6857142857142,-0.23070307589548278,0.12179106429322833,0.20691706330622156,0.13417776178481466
TURB.,20,KNN,488.58573304039516,301.11251949968823,0.5516264859572411,0.12445582255936936,0.12306945416634639,0.07584698224173507
TURB.,30,media,752.1621242336179,568.4150943396228,-0.012751673985519988,0.017627865044673605,0.18946149225028158,0.14317760562710902
TURB.,30,mediana,815.2680682206216,509.21383647798734,-0.19047033322452336,0.07304311720587188,0.20535719602534547,0.12826544999445524
TURB.,30,KNN,472.90969715716346,279.3205239254235,0.6008746605351252,0.06069135448750023,0.11912083051817719,0.07035781459078679
